Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A525357,STRAY,11/04/2024,*THOR,DOG,2 YEARS,LARGE,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525357&location=MONT,"11300 HALETHORPE TER, GERMANTOWN MD 20876"
A526957,STRAY,12/30/2024,*BIG CHEESE,OTHER,NO AGE,SMALL,BLACK / WHITE,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526957&location=MONT,"22700 CLARKSBURG RD, CLARKSBURG MD 20871"
A527668,STRAY,01/24/2025,*GUAVA,DOG,10 MONTHS,MED,WHITE / BLACK,SIBERIAN HUSKY / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527668&location=MONT,"10200 OLD GEORGETOWN RD, BETHESDA MD 20814"
A522439,STRAY,01/12/2025,ROSIE,DOG,1 YEAR 6 MONTHS,MED,BLACK / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522439&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904"
A527477,STRAY,01/19/2025,MILO,DOG,1 YEAR 1 MONTH,MED,BROWN / WHITE,LABRADOR RETR / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527477&location=MONT,"400 BELFORD PL, TAKOMA PARK MD 20912"
A527092,STRAY,01/03/2025,*CRUISER,DOG,2 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527092&location=MONT,"8700 COLESVILLE RD, SILVER SPRING MD 20910"
A433109,STRAY,12/11/2024,MALIBU,DOG,10 YEARS,LARGE,BRINDLE / GRAY,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433109&location=MONT,"500 PERRY PKWY, GAITHERSBURG MD 20877"
A526795,STRAY,12/22/2024,*AMBASSADOR,DOG,1 YEAR,MED,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526795&location=MONT,"7400 MAPLE AVE, TAKOMA PARK MD 20912"
A527693,STRAY,01/25/2025,*JELLO,DOG,3 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527693&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904"
A526688,STRAY,12/18/2024,*MARCH,DOG,2 YEARS,LARGE,BROWN,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526688&location=MONT,"4200 ROUND HILL RD, SILVER SPRING MD 20906"
A527692,STRAY,01/25/2025,*CHOTSO,DOG,4 YEARS,LARGE,TAN / BLACK,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527692&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904"
A527428,STRAY,01/16/2025,*ANCHOVY,CAT,2 YEARS,MED,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527428&location=MONT,"1900 BLK FLOWERING TREE TER, SILVER SPRING 20902"
A526236,STRAY,12/04/2024,*PAWLE,DOG,1 YEAR,MED,TRICOLOR,SHIBA INU / FEIST,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526236&location=MONT,"0 STEWART LN, SILVER SPRING MD 20904"
