medalist_name,medal,gender,sport
Bair Badënov,bronze,male,archery
Ilario Di Buò,silver,male,archery
Im Dong-hyun,gold,male,archery
Jiang Lin,bronze,male,archery
Lee Chang-hwan,gold,male,archery
Li Wenquan,bronze,male,archery
Marco Galiazzo,silver,male,archery
Mauro Nespoli,silver,male,archery
Park Kyung-mo,silver,male,archery
Viktor Ruban,gold,male,archery
Xue Haifeng,bronze,male,archery
Bérengère Schuh,bronze,female,archery
Chen Ling,silver,female,archery
Guo Dan,silver,female,archery
Joo Hyun-Jung,gold,female,archery
Park Sung-hyun,silver,female,archery
Sophie Dodemont,bronze,female,archery
Virginie Arnold,bronze,female,archery
Yun Ok-hee,bronze,female,archery
Zhang Juanjuan,gold,female,archery
Aaron Armstrong,gold,male,athletics
Ainārs Kovals,silver,male,athletics
Alex Schwazer,gold,male,athletics
Alfred Kirwa Yego,bronze,male,athletics
Andrae Williams,silver,male,athletics
Andreas Thorkildsen,gold,male,athletics
Andrei Krauchanka,silver,male,athletics
Andretti Bain,silver,male,athletics
Andrew Steele,bronze,male,athletics
Andrey Silnov,gold,male,athletics
Angelo Taylor,gold,male,athletics
Asbel Kiprop,gold,male,athletics
Avard Moncur,silver,male,athletics
Bershawn Jackson,bronze,male,athletics
Brimin Kipruto,gold,male,athletics
Bruno de Barros,bronze,male,athletics
Bryan Clay,gold,male,athletics
Chris Brown,silver,male,athletics
Christian Cantwell,silver,male,athletics
David Neville,bronze,male,athletics
David Oliver,bronze,male,athletics
David Payne,silver,male,athletics
Dayron Robles,gold,male,athletics
Denis Nizhegorodov,bronze,male,athletics
Derek Miles,bronze,male,athletics
Dylan Armstrong,bronze,male,athletics
Edwin Soi,bronze,male,athletics
Eliud Kipchoge,silver,male,athletics
Emmanuel Callender,gold,male,athletics
Gerd Kanter,gold,male,athletics
Germaine Mason,silver,male,athletics
Godfrey Khotso Mokoena,silver,male,athletics
Ibrahim Camejo,bronze,male,athletics
Irving Saladino,gold,male,athletics
Ismail Ahmed Ismail,silver,male,athletics
Ivan Tsikhan,bronze,male,athletics
Jaouad Gharib,silver,male,athletics
Jared Tallent,bronze,male,athletics
Jefferson Pérez,silver,male,athletics
Jeremy Wariner,silver,male,athletics
José Carlos Moreira,bronze,male,athletics
Kenenisa Bekele,gold,male,athletics
Kerron Clement,silver,male,athletics
Keston Bledman,gold,male,athletics
LaShawn Merritt,gold,male,athletics
Leevan Sands,bronze,male,athletics
Leonel Suárez,bronze,male,athletics
Mahiedine Mekhissi-Benabbad,silver,male,athletics
Marc Burns,gold,male,athletics
Martyn Rooney,bronze,male,athletics
Mehdi Baala,bronze,male,athletics
Micah Kogo,bronze,male,athletics
Michael Bingham,bronze,male,athletics
Michael Mathieu,silver,male,athletics
Naoki Tsukahara,silver,male,athletics
Nelson Évora,gold,male,athletics
Nick Willis,silver,male,athletics
Nobuharu Asahara,silver,male,athletics
Phillips Idowu,silver,male,athletics
Piotr Małachowski,silver,male,athletics
Primož Kozmus,gold,male,athletics
Ramon Miller,silver,male,athletics
Reggie Witherspoon,gold,male,athletics
Richard Mateelong,bronze,male,athletics
Richard Thompson,silver,male,athletics
Robert Tobin,bronze,male,athletics
Samuel Wanjiru,gold,male,athletics
Sandro Viana,bronze,male,athletics
Shawn Crawford,silver,male,athletics
Shingo Suetsugu,silver,male,athletics
Shinji Takahira,silver,male,athletics
Sileshi Sihine,silver,male,athletics
Steve Hooker,gold,male,athletics
Tero Pitkämäki,bronze,male,athletics
Tomasz Majewski,gold,male,athletics
Tsegaye Kebede,bronze,male,athletics
Usain Bolt,gold,male,athletics
Vadim Devyatovskiy,silver,male,athletics
Valeriy Borchin,gold,male,athletics
Vicente de Lima,bronze,male,athletics
Virgilijus Alekna,bronze,male,athletics
Walter Dix,bronze,male,athletics
Wilfred Bungei,gold,male,athletics
Yaroslav Rybakov,bronze,male,athletics
Yevgeny Lukyanenko,silver,male,athletics
Agnes Osazuwa,silver,female,athletics
Allyson Felix,silver,female,athletics
Anna Chicherova,bronze,female,athletics
Barbora Špotáková,gold,female,athletics
Blanka Vlašić,silver,female,athletics
Blessing Okagbare,silver,female,athletics
Bobby-Gaye Wilkins,silver,female,athletics
Catherine Ndereba,silver,female,athletics
Chelsea Hammond,bronze,female,athletics
Christina Obergföll,bronze,female,athletics
Christine Ohuruogu,gold,female,athletics
Constantina Diță,gold,female,athletics
Dawn Harper-Nelson,gold,female,athletics
Elisa Rigaudo,bronze,female,athletics
Ene Franca Idoko,silver,female,athletics
Eunice Jepkorir,silver,female,athletics
Françoise Mbango Etone,gold,female,athletics
Gloria Kemasuode,silver,female,athletics
Gong Lijiao,bronze,female,athletics
Gölnara Galkina-Sämitevä,gold,female,athletics
Halimat Ismaila,silver,female,athletics
Hanna Mariën,gold,female,athletics
Hasna Benhassi,bronze,female,athletics
Hyleas Fountain,silver,female,athletics
Iryna Lishchynska,silver,female,athletics
Janeth Jepkosgei,silver,female,athletics
Jennifer Suhr,silver,female,athletics
Kelly Sotherton,bronze,female,athletics
Kerron Stewart,bronze,female,athletics
Kim Gevaert,gold,female,athletics
Kjersti Plätzer,silver,female,athletics
Linet Masai,bronze,female,athletics
Lucimar de Moura,bronze,female,athletics
Manuela Montebrun,bronze,female,athletics
Marilyn Okoro,bronze,female,athletics
Mariya Abakumova,silver,female,athletics
Mary Wineberg,gold,female,athletics
Maurren Maggi,gold,female,athletics
Melaine Walker,gold,female,athletics
Meseret Defar,silver,female,athletics
Monique Henderson,gold,female,athletics
Nancy Langat,gold,female,athletics
Nataliya Dobrynska,gold,female,athletics
Nataliya Tobias,bronze,female,athletics
Natasha Hastings,gold,female,athletics
Nicola Sanders,bronze,female,athletics
Novlene Williams-Mills,silver,female,athletics
Olena Antonova,silver,female,athletics
Olga Kaniskina,gold,female,athletics
Olivia Borlée,gold,female,athletics
Oludamola Osayomi,silver,female,athletics
Pamela Jelimo,gold,female,athletics
Priscilla Lopes-Schliep,bronze,female,athletics
Rosemar Coelho Neto,bronze,female,athletics
Rosemarie Whyte,silver,female,athletics
Rosângela Santos,bronze,female,athletics
Sally Pearson,silver,female,athletics
Sanya Richards-Ross,bronze,female,athletics
Shalane Flanagan,silver,female,athletics
Sheena Tosta,silver,female,athletics
Shelly-Ann Fraser-Pryce,gold,female,athletics
Shereefa Lloyd,silver,female,athletics
Shericka Williams,silver,female,athletics
Sherone Simpson,silver,female,athletics
Song Aimin,bronze,female,athletics
Stephanie Brown Trafton,gold,female,athletics
Svetlana Feofanova,bronze,female,athletics
Sylvia Jebiwott Kibet,bronze,female,athletics
Tasha Danvers,bronze,female,athletics
Tatyana Chernova,bronze,female,athletics
Thaissa Presti,bronze,female,athletics
Tia Hellebaut,gold,female,athletics
Tirunesh Dibaba,gold,female,athletics
Valerie Adams,gold,female,athletics
Veronica Campbell-Brown,gold,female,athletics
Yekaterina Volkova,bronze,female,athletics
Yelena Isinbayeva,gold,female,athletics
Yipsi Moreno,gold,female,athletics
Zhang Wenxiu,silver,female,athletics
Zhou Chunxiu,bronze,female,athletics
Élodie Ouédraogo,gold,female,athletics
Cai Yun,silver,male,badminton
Chen Jin,bronze,male,badminton
Fu Haifeng,silver,male,badminton
He Hanbin,bronze,male,badminton
Hendra Setiawan,gold,male,badminton
Hwang Ji-man,bronze,male,badminton
Lee Chong Wei,silver,male,badminton
Lee Jae-jin,bronze,male,badminton
Lee Yong-dae,gold,male,badminton
Lin Dan,gold,male,badminton
Markis Kido,gold,male,badminton
Nova Widianto,silver,male,badminton
Du Jing,gold,female,badminton
Lee Hyo-jung,silver,female,badminton
Lee Kyung-won,silver,female,badminton
Liliyana Natsir,silver,female,badminton
Maria Kristin Yulianti,bronze,female,badminton
Wei Yili,bronze,female,badminton
Xie Xingfang,silver,female,badminton
Yu Yang,gold,female,badminton
Zhang Ning,gold,female,badminton
Zhang Yawen,bronze,female,badminton
Adiel Palma,silver,male,baseball
Alexander Malleta,silver,male,baseball
Alexei Bell,silver,male,baseball
Alfredo Despaigne,silver,male,baseball
Ariel Pestano,silver,male,baseball
Blaine Neal,bronze,male,baseball
Bong Jung-keun,gold,male,baseball
Brandon Knight,bronze,male,baseball
Brett Anderson,bronze,male,baseball
Brian Barden,bronze,male,baseball
Brian Duensing,bronze,male,baseball
Casey Weathers,bronze,male,baseball
Chong Tae-hyon,gold,male,baseball
Dexter Fowler,bronze,male,baseball
Eduardo Paret,silver,male,baseball
Elier Sánchez,silver,male,baseball
Eriel Sánchez,silver,male,baseball
Frederich Cepeda,silver,male,baseball
Giorvis Duvergel,silver,male,baseball
Han Ki-joo,gold,male,baseball
Hyun-jin Ryu,gold,male,baseball
Héctor Olivera,silver,male,baseball
Jake Arrieta,bronze,male,baseball
Jang Won-sam,gold,male,baseball
Jason Donald,bronze,male,baseball
Jayson Nix,bronze,male,baseball
Jeff Stevens,bronze,male,baseball
Jeong Keun-woo,gold,male,baseball
Jeremy Cummings,bronze,male,baseball
Jin Kab-yong,gold,male,baseball
John Gall,bronze,male,baseball
Jonder Martínez,silver,male,baseball
Kang Min-ho,gold,male,baseball
Kevin Jepsen,bronze,male,baseball
Kim Dong-ju,gold,male,baseball
Kim Hyun-soo,gold,male,baseball
Kim Kwang-hyun,gold,male,baseball
Kim Min-jae,gold,male,baseball
Ko Young-min,gold,male,baseball
Kwon Hyuk,gold,male,baseball
Lee Dae-ho,gold,male,baseball
Lee Jin-young,gold,male,baseball
Lee Jong-wook,gold,male,baseball
Lee Seung-yuop,gold,male,baseball
Lee Taek-keun,gold,male,baseball
Lee Yong-kyu,gold,male,baseball
Lou Marson,bronze,male,baseball
Luis Miguel Navas,silver,male,baseball
Luis Miguel Rodríguez,silver,male,baseball
Matt LaPorta,bronze,male,baseball
Matthew Brown,bronze,male,baseball
Michel Enríquez,silver,male,baseball
Miguel Lahera,silver,male,baseball
Mike Hessman,bronze,male,baseball
Mike Koplove,bronze,male,baseball
Nate Schierholtz,bronze,male,baseball
Norberto González,silver,male,baseball
Norge Luis Vera,silver,male,baseball
Oh Seung-hwan,gold,male,baseball
Park Jin-man,gold,male,baseball
Pedro Luis Lazo,silver,male,baseball
Rolando Meriño,silver,male,baseball
Song Seung-jun,gold,male,baseball
Stephen Strasburg,bronze,male,baseball
Taylor Teagarden,bronze,male,baseball
Terry Tiffee,bronze,male,baseball
Trevor Cahill,bronze,male,baseball
Vicyohandri Odelín,silver,male,baseball
Yadier Pedroso,silver,male,baseball
Yoandry Urgellés,silver,male,baseball
Yoon Suk-min,gold,male,baseball
Yulieski Gurriel,silver,male,baseball
Andrés Nocioni,bronze,male,basketball
Antonio Porta,bronze,male,basketball
Berni Rodríguez,silver,male,basketball
Carlos Boozer,gold,male,basketball
Carlos Delfino,bronze,male,basketball
Carlos Jiménez,silver,male,basketball
Carmelo Anthony,gold,male,basketball
Chris Bosh,gold,male,basketball
Chris Paul,gold,male,basketball
Dwight Howard,gold,male,basketball
Dwyane Wade,gold,male,basketball
Fabricio Oberto,bronze,male,basketball
Federico Kammerichs,bronze,male,basketball
Felipe Reyes,silver,male,basketball
Jason Kidd,gold,male,basketball
Jorge Garbajosa,silver,male,basketball
José Calderón,silver,male,basketball
Juan Carlos Navarro,silver,male,basketball
Juan Pedro Gutiérrez,bronze,male,basketball
Kobe Bryant,gold,male,basketball
LeBron James,gold,male,basketball
Leonardo Gutiérrez,bronze,male,basketball
Luis Scola,bronze,male,basketball
Manu Ginóbili,bronze,male,basketball
Marc Gasol,silver,male,basketball
Michael Redd,gold,male,basketball
Pablo Prigioni,bronze,male,basketball
Paolo Quinteros,bronze,male,basketball
Pau Gasol,silver,male,basketball
Raül López,silver,male,basketball
Ricky Rubio,silver,male,basketball
Román González,bronze,male,basketball
Rudy Fernández,silver,male,basketball
Tayshaun Prince,gold,male,basketball
Álex Mumbrú,silver,male,basketball
Becky Hammon,bronze,female,basketball
Belinda Snell,silver,female,basketball
Candace Parker,gold,female,basketball
Cappie Pondexter,gold,female,basketball
DeLisha Milton-Jones,gold,female,basketball
Diana Taurasi,gold,female,basketball
Emma Randall,silver,female,basketball
Erin Phillips,silver,female,basketball
Hollie Grima,silver,female,basketball
Ilona Korstin,bronze,female,basketball
Irina Osipova,bronze,female,basketball
Irina Sokolovskaya,bronze,female,basketball
Jenni Screen,silver,female,basketball
Kara Lawson,gold,female,basketball
Katie Smith,gold,female,basketball
Kristi Harrower,silver,female,basketball
Laura Summerton,silver,female,basketball
Lauren Jackson,silver,female,basketball
Lisa Leslie,gold,female,basketball
Maria Stepanova,bronze,female,basketball
Marina Karpunina,bronze,female,basketball
Marina Kuzina,bronze,female,basketball
Natalia Vodopyanova,bronze,female,basketball
Oxana Rakhmatulina,bronze,female,basketball
Penny Taylor,silver,female,basketball
Rohanee Cox,silver,female,basketball
Seimone Augustus,gold,female,basketball
Sue Bird,gold,female,basketball
Suzy Batkovic,silver,female,basketball
Svetlana Abrosimova,bronze,female,basketball
Sylvia Fowles,gold,female,basketball
Tamika Catchings,gold,female,basketball
Tatiana Shchegoleva,bronze,female,basketball
Tina Thompson,gold,female,basketball
Tully Bevilaqua,silver,female,basketball
Yekaterina Lisina,bronze,female,basketball
Aleksei Tishchenko,gold,male,boxing
Alexis Vastine,bronze,male,boxing
Andry Laffita,silver,male,boxing
Bakhyt Sarsekbayev,gold,male,boxing
Bruno Julie,bronze,male,boxing
Carlos Banteux,silver,male,boxing
Clemente Russo,silver,male,boxing
Daouda Sow,silver,male,boxing
Darren Sutherland,bronze,male,boxing
David Price,bronze,male,boxing
Deontay Wilder,bronze,male,boxing
Emilio Correa,silver,male,boxing
Enkhbatyn Badar-Uugan,gold,male,boxing
Georgy Balakshin,bronze,male,boxing
Hrachik Javakhyan,bronze,male,boxing
James DeGale,gold,male,boxing
Kanat Islam,bronze,male,boxing
Kenny Egan,silver,male,boxing
Khedafi Djelkhir,silver,male,boxing
Kim Jung-joo,bronze,male,boxing
Manuel Félix Díaz,gold,male,boxing
Manus Boonjumnong,silver,male,boxing
Matthew Luu,bronze,male,boxing
Osmay Acosta,bronze,male,boxing
Paddy Barnes,bronze,male,boxing
Pürevdorjiin Serdamba,silver,male,boxing
Rakhim Chakhkiyev,gold,male,boxing
Roberto Cammarelle,gold,male,boxing
Roniel Iglesias,bronze,male,boxing
Shahin Imranov,bronze,male,boxing
Somjit Jongjohor,gold,male,boxing
Tony Jeffries,bronze,male,boxing
Vasyl Lomachenko,gold,male,boxing
Veaceslav Gojan,bronze,male,boxing
Vijender Singh,bronze,male,boxing
Vincenzo Picardi,bronze,male,boxing
Yakup Kılıç,bronze,male,boxing
Yampier Hernández,bronze,male,boxing
Yankiel León,silver,male,boxing
Yerkebulan Shynaliyev,bronze,male,boxing
Yordenis Ugás,bronze,male,boxing
Zhang Xiaoping,gold,male,boxing
Zhang Zhilei,silver,male,boxing
Zou Shiming,gold,male,boxing
Adam van Koeverden,silver,male,canoeing and kayaking
Aleksandr Kostoglod,silver,male,canoeing and kayaking
Alexander Grimm,gold,male,canoeing and kayaking
Aliaksandr Bahdanovich,gold,male,canoeing and kayaking
Aliaksei Abalmasau,gold,male,canoeing and kayaking
Andrea Facchin,bronze,male,canoeing and kayaking
Andreas Ihle,gold,male,canoeing and kayaking
Andrei Bahdanovich,gold,male,canoeing and kayaking
Antonio Scaduto,bronze,male,canoeing and kayaking
Artur Litvinchuk,gold,male,canoeing and kayaking
Attila Vajda,gold,male,canoeing and kayaking
Benjamin Boukpeti,bronze,male,canoeing and kayaking
Björn Goldschmidt,bronze,male,canoeing and kayaking
Carlos Pérez Rial,gold,male,canoeing and kayaking
Christian Gille,bronze,male,canoeing and kayaking
David Cal,silver,male,canoeing and kayaking
David Florence,silver,male,canoeing and kayaking
Dmitry Larionov,bronze,male,canoeing and kayaking
Eirik Verås Larsen,silver,male,canoeing and kayaking
Erik Vlček,silver,male,canoeing and kayaking
Fabien Lefèvre,silver,male,canoeing and kayaking
György Kozmann,bronze,male,canoeing and kayaking
Jaroslav Volf,silver,male,canoeing and kayaking
Juraj Tarr,silver,male,canoeing and kayaking
Ken Wallace,gold,male,canoeing and kayaking
Kim Wraae Knudsen,silver,male,canoeing and kayaking
Lutz Altepost,bronze,male,canoeing and kayaking
Martin Hollstein,gold,male,canoeing and kayaking
Maxim Opalev,gold,male,canoeing and kayaking
Meng Guanliang,gold,male,canoeing and kayaking
Michal Martikán,gold,male,canoeing and kayaking
Michal Riszdorfer,silver,male,canoeing and kayaking
Mikhail Kuznetsov,bronze,male,canoeing and kayaking
Norman Bröckl,bronze,male,canoeing and kayaking
Ondřej Štěpánek,silver,male,canoeing and kayaking
Pavol Hochschorner,gold,male,canoeing and kayaking
Peter Hochschorner,gold,male,canoeing and kayaking
Raman Pietrushenka,bronze,male,canoeing and kayaking
René Holten Poulsen,silver,male,canoeing and kayaking
Richard Riszdorfer,silver,male,canoeing and kayaking
Robin Bell,bronze,male,canoeing and kayaking
Ronald Rauhe,silver,male,canoeing and kayaking
Saúl Craviotto,gold,male,canoeing and kayaking
Sergey Ulegin,silver,male,canoeing and kayaking
Tamás Kiss,bronze,male,canoeing and kayaking
Thomas Hall,bronze,male,canoeing and kayaking
Tim Brabants,bronze,male,canoeing and kayaking
Tim Wieskötter,silver,male,canoeing and kayaking
Tomasz Wylenzek,bronze,male,canoeing and kayaking
Torsten Eckbrett,bronze,male,canoeing and kayaking
Vadzim Makhneu,bronze,male,canoeing and kayaking
Yang Wenjun,gold,male,canoeing and kayaking
Yuriy Cheban,bronze,male,canoeing and kayaking
Aneta Konieczna,silver,female,canoeing and kayaking
Anne-Laure Viard,bronze,female,canoeing and kayaking
Beata Mikołajczyk,silver,female,canoeing and kayaking
Chantal Meek,bronze,female,canoeing and kayaking
Conny Waßmuth,gold,female,canoeing and kayaking
Danuta Kozák,silver,female,canoeing and kayaking
Elena Kaliská,gold,female,canoeing and kayaking
Fanny Fischer,gold,female,canoeing and kayaking
Gabriella Szabó,silver,female,canoeing and kayaking
Hannah Davis,bronze,female,canoeing and kayaking
Inna Osypenko-Radomska,gold,female,canoeing and kayaking
Jacqueline Lawrence,silver,female,canoeing and kayaking
Josefa Idem,silver,female,canoeing and kayaking
Katalin Kovács,gold,female,canoeing and kayaking
Katrin Wagner-Augustin,bronze,female,canoeing and kayaking
Lisa Oldenhof,bronze,female,canoeing and kayaking
Lyndsie Fogarty,bronze,female,canoeing and kayaking
Marie Delattre,bronze,female,canoeing and kayaking
Natasa Dusev-Janics,gold,female,canoeing and kayaking
Nicole Reinhardt,gold,female,canoeing and kayaking
Violetta Oblinger-Peters,bronze,female,canoeing and kayaking
Alexandr Kolobnev,bronze,male,road bicycle racing
Fabian Cancellara,silver,male,road bicycle racing
Gustav Larsson,silver,male,road bicycle racing
Levi Leipheimer,bronze,male,road bicycle racing
Samuel Sánchez,gold,male,road bicycle racing
Emma Johansson,silver,female,road bicycle racing
Emma Pooley,silver,female,road bicycle racing
Karin Thürig,bronze,female,road bicycle racing
Kristin Armstrong,gold,female,road bicycle racing
Nicole Cooke,gold,female,road bicycle racing
Tatiana Guderzo,bronze,female,road bicycle racing
Alex Rasmussen,silver,male,track cycling
Alexei Markov,bronze,male,track cycling
Arnaud Tournant,silver,male,track cycling
Bradley Wiggins,gold,male,track cycling
Casper Jørgensen,silver,male,track cycling
Chris Hoy,gold,male,track cycling
Chris Newton,bronze,male,track cycling
Ed Clancy,gold,male,track cycling
Geraint Thomas,gold,male,track cycling
Grégory Baugé,silver,male,track cycling
Hayden Roulston,silver,male,track cycling
Jamie Staff,gold,male,track cycling
Jason Kenny,silver,male,track cycling
Jens-Erik Madsen,silver,male,track cycling
Jesse Sergent,bronze,male,track cycling
Joan Llaneras Roselló,silver,male,track cycling
Juan Curuchet,gold,male,track cycling
Kiyofumi Nagai,bronze,male,track cycling
Kévin Sireau,silver,male,track cycling
Marc Ryan,bronze,male,track cycling
Maximilian Levy,bronze,male,track cycling
Michael Færk Christensen,silver,male,track cycling
Michael Mørkøv,silver,male,track cycling
Mickaël Bourgain,bronze,male,track cycling
Mikhail Ignatiev,bronze,male,track cycling
Paul Manning,gold,male,track cycling
René Enders,bronze,male,track cycling
Roger Kluge,silver,male,track cycling
Ross Edgar,silver,male,track cycling
Sam Bewley,bronze,male,track cycling
Stefan Nimke,bronze,male,track cycling
Steven Burke,bronze,male,track cycling
Toni Tauler,silver,male,track cycling
Walter Pérez,gold,male,track cycling
Westley Gough,bronze,male,track cycling
Anna Meares,silver,female,track cycling
Guo Shuang,bronze,female,track cycling
Leire Olaberria,bronze,female,track cycling
Lesya Kalytovska,bronze,female,track cycling
Marianne Vos,gold,female,track cycling
Rebecca Romero,gold,female,track cycling
Victoria Pendleton,gold,female,track cycling
Wendy Houvenaghel,silver,female,track cycling
Yoanka González,silver,female,track cycling
Jean-Christophe Péraud,silver,male,mountain biking
Julien Absalon,gold,male,mountain biking
Nino Schurter,bronze,male,mountain biking
Irina Kalentieva,bronze,female,mountain biking
Maja Włoszczowska,silver,female,mountain biking
Sabine Spitz,gold,female,mountain biking
Donny Robinson,bronze,male,bmx
Mike Day,silver,male,bmx
Māris Štrombergs,gold,male,bmx
Anne-Caroline Chausson,gold,female,bmx
Jill Kintner,bronze,female,bmx
Laëtitia Le Corguillé,silver,female,bmx
Alexandre Despatie,silver,male,diving
Dmitri Sautin,silver,male,diving
Dmitriy Dobroskok,bronze,male,diving
Gleb Galperin,bronze,male,diving
He Chong,gold,male,diving
Huo Liang,gold,male,diving
Illya Kvasha,bronze,male,diving
Lin Yue,gold,male,diving
Matthew Mitcham,gold,male,diving
Oleksiy Pryhorov,bronze,male,diving
Patrick Hausding,silver,male,diving
Qin Kai,bronze,male,diving
Sascha Klein,silver,male,diving
Wang Feng,gold,male,diving
Yuriy Kunakov,silver,male,diving
Zhou Lüxin,silver,male,diving
Anastasia Pozdniakova,silver,female,diving
Briony Cole,silver,female,diving
Chen Ruolin,gold,female,diving
Ditte Kotzian,bronze,female,diving
Guo Jingjing,gold,female,diving
Heike Fischer,bronze,female,diving
Melissa Wu,silver,female,diving
Paola Espinosa,bronze,female,diving
Tatiana Ortiz,bronze,female,diving
Wang Xin,bronze,female,diving
Wu Minxia,bronze,female,diving
Yuliya Pakhalina,silver,female,diving
Émilie Heymans,silver,female,diving
Anky van Grunsven,gold,female,equestrian sport
Anne van Olst,bronze,female,equestrian sport
Beezie Madden,bronze,female,equestrian sport
Christina Liebherr,bronze,female,equestrian sport
Daisy Dick,bronze,female,equestrian sport
Gina Miles,silver,female,equestrian sport
Heike Kemmer,bronze,female,equestrian sport
Imke Bartels,silver,female,equestrian sport
Ingrid Klimke,gold,female,equestrian sport
Isabell Werth,silver,female,equestrian sport
Jill Henselwood,silver,female,equestrian sport
Kristina Cook,bronze,female,equestrian sport
Laura Kraut,gold,female,equestrian sport
Lucinda Fredericks,silver,female,equestrian sport
Mary King,bronze,female,equestrian sport
Megan Jones,silver,female,equestrian sport
Nadine Capellmann,gold,female,equestrian sport
Princess Nathalie of Sayn-Wittgenstein-Berleburg,bronze,female,equestrian sport
Sharon Hunt,bronze,female,equestrian sport
Sonja Johnson,silver,female,equestrian sport
Andreas Dibowski,gold,male,equestrian sport
Andreas Helgstrand,bronze,male,equestrian sport
Clayton Fredericks,silver,male,equestrian sport
Eric Lamaze,gold,male,equestrian sport
Frank Ostholt,gold,male,equestrian sport
Hans Peter Minderhoud,silver,male,equestrian sport
Hinrich Romeike,gold,male,equestrian sport
Ian Millar,silver,male,equestrian sport
Mac Cone,silver,male,equestrian sport
McLain Ward,gold,male,equestrian sport
Niklaus Schurtenberger,bronze,male,equestrian sport
Peter Thomsen,gold,male,equestrian sport
Pius Schwizer,bronze,male,equestrian sport
Rolf-Göran Bengtsson,silver,male,equestrian sport
Shane Rose,silver,male,equestrian sport
Steve Guerdat,bronze,male,equestrian sport
Will Simpson,gold,male,equestrian sport
William Fox-Pitt,bronze,male,equestrian sport
Adam Wiercioch,silver,male,fencing
Aldo Montano,bronze,male,fencing
Alfredo Rota,bronze,male,fencing
Benjamin Kleibrink,gold,male,fencing
Boris Sanson,gold,male,fencing
Diego Confalonieri,bronze,male,fencing
Diego Occhiuzzi,bronze,male,fencing
Fabrice Jeannet,silver,male,fencing
Gianpiero Pastore,bronze,male,fencing
James Leighman Williams,silver,male,fencing
Jason Rogers,silver,male,fencing
José Luis Abajo,bronze,male,fencing
Julien Pillet,gold,male,fencing
Jérôme Jeannet,gold,male,fencing
Keeth Smart,silver,male,fencing
Luigi Tarantino,bronze,male,fencing
Matteo Tagliariol,gold,male,fencing
Mihai Covaliu,bronze,male,fencing
Nicolas Lopez,silver,male,fencing
Radosław Zawrotniak,silver,male,fencing
Robert Andrzejuk,silver,male,fencing
Salvatore Sanzo,bronze,male,fencing
Stefano Carozzo,bronze,male,fencing
Tim Morehouse,silver,male,fencing
Tomasz Motyka,silver,male,fencing
Ulrich Robeiri,gold,male,fencing
Yūki Ōta,silver,male,fencing
Zhong Man,gold,male,fencing
Aida Shanayeva,gold,female,fencing
Ana Maria Popescu,silver,female,fencing
Bao Yingying,silver,female,fencing
Britta Heidemann,gold,female,fencing
Emily Cross,silver,female,fencing
Erinn Smart,silver,female,fencing
Giovanna Trillini,bronze,female,fencing
Halyna Pundyk,gold,female,fencing
Hanna Thompson,silver,female,fencing
Huang Haiyang,silver,female,fencing
Ilaria Salvatori,bronze,female,fencing
Ildikó Mincza-Nébald,bronze,female,fencing
Margherita Granbassi,bronze,female,fencing
Mariel Zagunis,gold,female,fencing
Nam Hyun-Hee,silver,female,fencing
Ni Hong,silver,female,fencing
Olena Khomrova,gold,female,fencing
Olha Kharlan,gold,female,fencing
Olha Zhovnir,gold,female,fencing
Rebecca Ward,bronze,female,fencing
Sada Jacobson,silver,female,fencing
Svetlana Boiko,gold,female,fencing
Tan Xue,silver,female,fencing
Valentina Vezzali,gold,female,fencing
Viktoria Nikishina,gold,female,fencing
Yevgeniya Lamonova,gold,female,fencing
Albert Sala,silver,male,field hockey
Alex Fàbregas,silver,male,field hockey
Andrew Smith,bronze,male,field hockey
Benjamin Weß,gold,male,field hockey
Bevan George,bronze,male,field hockey
Carlos Nevado,gold,male,field hockey
Christopher Zeller,gold,male,field hockey
David Alegre,silver,male,field hockey
David Guest,bronze,male,field hockey
Des Abbott,bronze,male,field hockey
Eddie Ockenden,bronze,male,field hockey
Eduard Arbós,silver,male,field hockey
Eduard Tubau,silver,male,field hockey
Eli Matheson,bronze,male,field hockey
Fergus Kavanagh,bronze,male,field hockey
Florian Keller,gold,male,field hockey
Francisco Cortés,silver,male,field hockey
Francisco Fábregas Monegal,silver,male,field hockey
Grant Schubert,bronze,male,field hockey
Jamie Dwyer,bronze,male,field hockey
